Primary_ID,Company_Name,Homepage,Domain,Total_Fundings,Status,Country_Code,State_Code,Region,City,Funding_Rounds,First_Funding_Date,Last_Funding_Date,Pasted field 1
52,Elateral,http://www.elateral.com/,Software,1604597.0,operating,USA,IL,Chicago,Westchester,3,2/5/2014,19/11/2014,
54,epacube,http://epacube.com,Software,2498750.0,operating,USA,TX,Dallas,Dallas,4,3/6/2011,16/9/2013,
57,Everbridge,http://www.everbridge.com,Software,10925000.0,operating,USA,CA,Los Angeles,Glendale,5,19/4/2009,12/1/2015,
75,Helicomm,http://www.helicomm.com,Software,1000000.0,closed,USA,CA,San Diego,San Diego,1,21/3/2006,21/3/2006,
76,HomeCon,http://www.Homecon.ca,Software,,operating,CAN,ON,Toronto,Toronto,1,26/11/2012,26/11/2012,
86,Intrusic,http://www.masshightech.com/stories/2007/02/19/story2-Exciting-Intrusic-shuts-down.html,Software,18100000.0,closed,USA,MA,Boston,Burlington,3,20/4/2004,30/10/2006,
88,iSECUREtrac,http://www.isecuretrac.com,Software,1700000.0,operating,USA,NE,Omaha,Omaha,1,3/10/2012,3/10/2012,
111,Narad Networks,,Software,26250000.0,operating,USA,MA,Boston,Westford,2,15/11/2002,21/2/2007,
112,Native5,http://www.native5.com,Software,,operating,,,,,1,22/9/2015,22/9/2015,
118,Ohana Companies,http://everybodywins.com,Software,2500000.0,operating,USA,DE,"Wilmington, Delaware",Wilmington,2,13/11/2013,18/7/2014,
120,OneTag,http://theonetag.com,Software,1500000.0,operating,USA,IL,Chicago,Chicago,1,12/4/2010,12/4/2010,
144,Saisei,http://www.saisei.com/,Software,14253858.0,operating,USA,CA,SF Bay Area,Sunnyvale,4,1/1/2013,7/10/2015,
145,sentitO Networks,,Software,39000000.0,closed,USA,MA,Boston,Acton,4,7/3/2003,3/8/2006,
